wavelength (nm),irradiance (W/m^2/nm),
272.7,0.20667183,
272.8,0.2125874,
272.9,0.217156176,
273,0.21970559,
273.1,0.219773546,
273.2,0.217173989,
273.3,0.212020453,
273.4,0.204697526,
273.5,0.195783175,
273.6,0.185949517,
273.7,0.175864546,
273.8,0.166111503,
273.9,0.157144481,
274,0.149273619,
274.1,0.142680206,
274.2,0.137439831,
274.3,0.133561736,
274.4,0.131017967,
274.5,0.129770939,
274.6,0.129787274,
274.7,0.131035211,
274.8,0.133469713,
274.9,0.137013242,
275,0.141549848,
275.1,0.146934777,
275.2,0.153021846,
275.3,0.159701188,
275.4,0.166915607,
275.5,0.17464707,
275.6,0.182874128,
275.7,0.191514437,
275.8,0.200385938,
275.9,0.209209645,
276,0.21765179,
276.1,0.225388529,
276.2,0.232169965,
276.3,0.237855611,
276.4,0.242417793,
276.5,0.24592172,
276.6,0.248491175,
276.7,0.250269463,
276.8,0.251377332,
276.9,0.251875424,
277,0.25173064,
277.1,0.250806039,
277.2,0.248883016,
277.3,0.245718511,
277.4,0.241125348,
277.5,0.235050577,
277.6,0.227628313,
277.7,0.219179994,
277.8,0.210165357,
277.9,0.201088188,
278,0.19239384,
278.1,0.184374507,
278.2,0.177121215,
278.3,0.170520409,
278.4,0.164303402,
278.5,0.158127037,
278.6,0.151663772,
278.7,0.144683203,
278.8,0.137102438,
278.9,0.129001712,
279,0.120600988,
279.1,0.112212053,
279.2,0.104177434,
279.3,0.096810808,
279.4,0.090357214,
279.5,0.084973104,
279.6,0.080730832,
279.7,0.077641705,
279.8,0.075685474,
279.9,0.074842676,
280,0.075115769,
280.1,0.076538112,
280.2,0.0791684,
280.3,0.083072591,
280.4,0.088299438,
280.5,0.094856595,
280.6,0.102696216,
280.7,0.111711863,
280.8,0.121750927,
280.9,0.132637765,
281,0.144193004,
281.1,0.156248913,
281.2,0.168650037,
281.3,0.18124375,
281.4,0.193869383,
281.5,0.206348884,
281.6,0.218489223,
281.7,0.230094945,
281.8,0.240983871,
281.9,0.251011076,
282,0.260083729,
282.1,0.268175673,
282.2,0.275334305,
282.3,0.281676394,
282.4,0.28737269,
282.5,0.292610327,
282.6,0.297548406,
282.7,0.302271367,
282.8,0.306751176,
282.9,0.310846567,
283,0.31433377,
283.1,0.316968813,
283.2,0.318558788,
283.3,0.319015559,
283.4,0.318369946,
283.5,0.316739498,
283.6,0.314262546,
283.7,0.311022712,
283.8,0.306995297,
283.9,0.302032402,
284,0.295889365,
284.1,0.288278469,
284.2,0.27893561,
284.3,0.267680239,
284.4,0.254469645,
284.5,0.23944218,
284.6,0.222956624,
284.7,0.205614474,
284.8,0.188263242,
284.9,0.17195561,
285,0.157865603,
285.1,0.147161044,
285.2,0.140851315,
285.3,0.139644739,
285.4,0.143837638,
285.5,0.15326226,
285.6,0.167305331,
285.7,0.184986063,
285.8,0.205080566,
285.9,0.22627035,
286,0.247290853,
286.1,0.26706155,
286.2,0.284784942,
286.3,0.300002449,
286.4,0.312600948,
286.5,0.322767852,
286.6,0.330900588,
286.7,0.33747444,
286.8,0.34290071,
286.9,0.347403837,
287,0.350950074,
287.1,0.353251411,
